Time (s),Depth,Sonic_Velocity,AC,PHIT,R64,RD,TEMP,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.436,2546.4220849486537,4427.248003585905,68.8499151362818,0.15615814765592434,121.89588186423352,106.53754884398015,106.02134046351064,1.0,-5478.082,237.1831512451172,5478.082,-3823.9158203125,30009382.0
1.44,2556.255841857571,5104.038017814498,59.727880790333316,0.05009640037346285,19.270481117031785,143.74181558486163,106.30031941386953,1.0,-5048.426,12.191289901733398,5048.426,-5263.2546875,25486602.0
1.444,2566.5639420657203,4724.750698025228,64.5136182638621,0.09314997483584168,21.915077077933283,138.569,106.59275431990615,1.0,-4296.535,15.194295883178711,4296.535,-5413.63359375,18460214.0
1.448,2576.5378509134503,5155.808218637542,59.12032821976061,0.050340174423249305,22.016092940391754,207.7310044592371,106.87565982557675,1.0,-2040.8535,19.65138816833496,2040.8535,-4597.291796875,4165083.0
1.452,2587.1952333852814,4945.414249062133,61.63297112654598,0.08164756723818949,25.31809434320509,189.71251371698756,107.17796653478811,1.0,2040.8545,23.48334312438965,2040.8545,-2964.6083984375,4165087.0
1.456,2597.577115840349,5541.92353089852,55.000502592693834,0.16360624134903642,23.694686524789212,167.45852706466363,107.47253635937044,1.0,6015.1484,25.91414451599121,6015.1484,-665.9623046875,36182012.0
1.46,2606.952886317721,4591.57944227216,66.38298359231887,0.13922979577599803,18.36831660973703,146.19877857203835,107.738480816896,1.0,7196.6953,27.010761260986328,7196.6953,1783.0619140625,51792424.0
1.464,2616.8584388690615,5306.457745950543,57.476846592789364,0.17399325369068944,16.520468339285035,111.78499840776135,108.01949472720244,1.0,4833.6016,28.373825073242188,4833.6016,3609.0892578125,23363704.0
1.468,2626.5944301887403,4758.137982351853,64.059475320016,0.17318886037750683,17.246460981046038,143.89721267727168,108.29573847547385,1.0,322.2412,30.2381649017334,322.2412,4081.708203125,103839.4
1.472,2636.171701122794,5127.034751843382,59.49711250185942,0.13399062021047636,18.62911925683653,185.848,108.56740763143853,1.0,-3114.9873,31.656715393066406,3114.9873,3050.53984375,9703146.0
1.476,2645.740696065412,5245.331015188044,58.10898517017341,0.04633373541127603,19.73076843944346,166.475,108.83883948983159,1.0,-3544.6406,215.83163452148438,3544.6406,1138.58203125,12564477.0
1.48,2654.9824086541553,5438.317127564566,56.04739509768077,0.051637754756488165,20.19719350938543,240.276,109.10100744231627,1.0,-1396.373,38.76955795288086,1396.373,-580.031640625,1949857.6
1.484,2664.8489672043347,4963.871522715071,61.40626861845236,0.10633803225936532,23.925878510786728,191.00530051151256,109.38092004892536,1.0,966.7217,43.718353271484375,966.7217,-1353.4076171875,934550.8
1.488,2674.8347438980245,5136.2717640507435,59.345091132833225,0.2107407562834373,23.36012255013282,198.73671186823287,109.66417282914438,1.0,1611.2021,46.08372497558594,1611.2021,-1095.6154296875,2595972.2
1.492,2685.2216443247316,5731.899739929618,53.17721661868071,0.21756493297421142,28.378988204699496,268.238,109.95882768541738,1.0,537.0674,43.67497634887695,537.0674,-365.2044921875,288441.38
1.496,2695.8246707910616,5212.743363329877,58.48741029464057,0.06798981440270462,24.07127304462643,215.23,110.25961545294048,1.0,-859.30664,39.81697082519531,859.30664,171.8623046875,738407.9
1.5,2706.561552703705,5525.510907667669,55.16248988038998,0.05345249314721213,31.20791310740051,244.6220797033224,110.56422347570397,1.0,-1181.5469,211.15933227539062,1181.5469,214.8275390625,1396053.0
1.504,2717.0250063765834,4550.24993889723,66.99235157903121,0.10295085446266054,39.83250675918224,649.21892867672,110.86102518492102,0.8995447584454703,-322.23926,43.52739334106445,322.23926,-42.9646484375,103838.14
1.508,2726.3781353132395,5166.32620285134,58.9992615535888,0.0484462871461182,34.85608910997353,279.3904686625967,111.12638778877033,1.0,429.6543,68.21875,429.6543,-279.27421875,184602.81
1.512,2736.5605774618275,4846.765519315089,62.8874508509459,0.1205797888357321,27.29336535228983,265.367250770914,111.41525674639325,1.0,0.0,73.76152801513672,0.0,-386.6876953125,0.0
1.516,2745.4859786956667,4492.624898131481,67.84480479125455,0.127324340869365,24.52617443479762,356.0194380974992,111.66840740347861,1.0,-1288.96,43.7763671875,1288.96,-472.618359375,1661417.8
1.52,2754.951047422782,4336.6375003236435,70.3019595072291,0.1329207299123332,23.29532412355992,240.12221189507397,111.9369293278377,1.0,-1933.4404,214.4254913330078,1933.4404,-622.9970703125,3738192.0
1.524,2763.0855460274197,3734.3901261807628,81.62029021622828,0.22442269862837755,26.805766608178356,240.919201779256,112.1676952887681,0.8774379068324245,-859.30664,33.59144592285156,859.30664,-730.410546875,738407.9
1.528,2773.07425193438,5386.9076319604565,56.5817613494378,0.18394078242106437,32.680023645926404,329.787967427724,112.45107905416295,1.0,1933.4424,34.37018966674805,1933.4424,-429.6529296875,3738199.5
1.532,2783.9332190184195,5598.61871349326,54.442,0.1003767263799444,32.53389711656875,426.9608041899957,112.75913013251547,1.0,4189.121,33.40312957763672,4189.121,408.1712890625,17548736.0
1.536,2794.6400900068443,5498.033839604604,55.437999999999995,0.05367522963655806,26.595621786422356,216.04869125840295,113.062822520192,1.0,3974.296,31.85081672668457,3974.296,1460.8224609375,15795028.0
1.54,2804.3662813165647,5356.836456929733,56.90173790708573,0.23683718683448649,24.5124373668973,373.204,113.34888612739584,1.0,751.89453,32.13303756713867,751.89453,1997.889453125,565345.4
1.544,2814.1969398357473,5215.485659022805,58.44891694337416,0.14423879671517362,25.43160995476125,334.68336752195285,113.70038983408732,1.0,-3866.8809,31.732824325561523,3866.8809,1396.374609375,14952768.0
1.548,2824.627818612298,4699.625139940831,64.85635903850105,0.1148743864525407,24.426178896438067,227.0598076281718,114.07330147004323,1.0,-6767.043,30.49181365966797,6767.043,-343.7224609375,45792870.0
1.552,2834.7072846848655,5395.520263986276,56.49205893845748,0.247,22.319138865339916,215.23,114.43376224865551,1.0,-6015.1484,220.030029296875,6015.1484,-2384.5763671875,36182012.0
1.556,2843.3151706431695,4682.906307219884,65.09580078830525,0.17638293568426328,22.389480368262447,309.1120065407863,114.74154614315367,1.0,-1718.6133,29.183034896850586,1718.6133,-3523.158203125,2953631.5
1.56,2853.1182374175132,4957.866317810436,61.48600310373017,0.2469,20.21870252685784,269.1438525285958,115.09205654703099,1.0,3759.4697,28.36972427368164,3759.4697,-2921.6431640625,14133613.0
1.564,2863.0340777799024,4694.424994370448,64.97331159031415,0.17929222200924452,21.264279554448073,237.39651742636198,115.44662680007667,1.0,7518.9375,27.784854888916016,7518.9375,-644.4794921875,56534420.0
1.568,2872.269922014826,4747.726155115057,64.2024232676216,0.2469,20.432168205048246,205.01613543834674,115.77681719253357,1.0,7733.7617,26.62317657470703,7733.7617,2255.6814453125,59811070.0
1.572,2882.475228566224,5557.885523604604,54.841,0.11011562878497573,21.665393996718667,211.317,116.1417329998177,1.0,4726.1875,25.967683792114258,4726.1875,4403.9486328125,22336848.0
1.576,2892.6470728057197,5078.307230923026,60.02,0.2468,18.1829224403176,167.92578387269515,116.50544754820066,1.0,-107.41211,25.72553253173828,107.41211,4726.1888671875,11537.361
1.58,2903.0161109200026,4430.191733425952,68.84379764537107,0.13632839467839616,18.007583361999252,168.25839704167734,116.87617999312019,1.0,-4511.3594,25.09860610961914,4511.3594,3072.023046875,20352364.0
1.584,2912.3721278357125,4167.296077116946,73.1543208801525,0.2467,18.611698228110818,165.63130958659133,117.21072447424945,1.0,-6874.453,24.950225830078125,6874.453,193.344921875,47258104.0
1.588,2922.332806963535,4699.280063291731,64.8631434296312,0.15628701278989265,20.49580180246586,159.6538746687377,117.56688105068677,1.0,-6444.801,224.83702087402344,6444.801,-2642.367578125,41535456.0
1.592,2932.180986044698,5651.847483363258,53.93029654737146,0.12753028828025834,21.173091718571342,218.34619713232274,117.91903451156489,1.0,-3544.6406,25.844676971435547,3544.6406,-4296.533203125,12564477.0
